long,is_dataset
"National Science Foundation Survey of Earned Doctorates",1
"Survey of Earned Doctorates",1
"NSF Survey of Earned Doctorates",1
"National Center for Science and Engineering Statistics Survey of Earned Doctorates",1
"National Science Foundation Survey of Graduate Students and Postdoctorates in Science and Engineering",1
"Survey of Graduate Students and Postdoctorates in Science and Engineering",1
"NSF Survey of Graduate Students and Postdoctorates in Science and Engineering",1
"National Center for Science and Engineering Statistics Survey of Graduate Students and Postdoctorates in Science and Engineering",1
"NCSES Survey of Graduate Students and Postdoctorates in Science and Engineering",1
"National Science Foundation Survey of Doctorate Recipients",1
"Survey of Doctorate Recipients",1
"National Center for Science and Engineering Statistics Survey of Doctorate Recipients",1
"NCSES Survey of Doctorate Recipients",1
"National Science Foundation Survey of Industrial Research and Development",1
"Survey of Industrial Research and Development",1
"NSF Survey of Industrial Research and Development",1
"National Center for Science and Engineering Statistics Survey of Industrial Research and Development",1
"NSF Higher Education Research and Development Survey",1
"Higher Education Research and Development Survey",1
"National Science Foundation Higher Education Research and Development Survey",1
"National Center for Science and Engineering Statistics Higher Education Research and Development Survey",1
"Survey of Science and Engineering Research Facilities",1
"National Science Foundation Survey of Science and Engineering Research Facilities",1
"National Center for Science and Engineering Statistics Survey of Science and Engineering Research Facilities",1
"NSF Survey of Science and Engineering Research Facilities",1
"FFRDC Research and Development Survey",1
"NSF FFRDC Research and Development Survey",1
"Survey of State Government Research and Development",1
"National Survey of Recent College Graduates",1
"National Science Foundation National Survey of Recent College Graduates",1
"National Center for Science and Engineering Statistics National Survey of Recent College Graduates",1
"NSF National Survey of Recent College Graduates",1
"National Survey of College Graduates",1
"NSF National Survey of College Graduates",1
"National Center for Science and Engineering Statistics National Survey of College Graduates",1
"National Science Foundation National Survey of College Graduates",1
"Business R&D and Innovation Survey",1
"National Science Foundation Business R&D and Innovation Survey",1
"NSF Business R&D and Innovation Survey",1
"National Center for Science and Engineering Statistics Business R&D and Innovation Survey",1
"Survey of Federal Science and Engineering Support to Universities, Colleges, and Nonprofit Institutions",1
"National Science Foundation Survey of Federal Science and Engineering Support to Universities, Colleges, and Nonprofit Institutions",1
"NSF Survey of Federal Science and Engineering Support to Universities, Colleges, and Nonprofit Institutions",1
"Survey of Federal Funds for Research and Development",1
"NSF Survey of Federal Funds for Research and Development",1
"National Science Foundation Survey of Federal Funds for Research and Development",1
"National Center for Science and Engineering Statistics Survey of Federal Funds for Research and Development",1